fecha	diario	gaceta_num	pagina	departamento	referencia	titulo	pdf
02/12/1876	Gaceta de Madrid	337	558	Ministerio de Hacienda	BOE-A-1876-9460	Dirección de la Caja general de Depósitos.- Se acuerdan los pagos que se expresan.	https://www.boe.es/datos/pdfs/BOE//1876/337/A00558-00558.pdf
12/02/1877	Gaceta de Madrid	43	395 a 407	Ministerio de la Gobernación	BOE-A-1877-1187	División de los partidos judiciales en distritos para las elecciones provinciales á que se refiere el Real decreto precedente.	https://www.boe.es/datos/pdfs/BOE//1877/043/A00395-00407.pdf
28/04/1877	Gaceta de Madrid	118	290 a 292	Ministerio de Gracia y Justicia	BOE-A-1877-3272	Memoria justificativa del proyecto de división judicial del territorio que comprende la Audiencia de Valladolid (continuación).	https://www.boe.es/datos/pdfs/BOE//1877/118/A00290-00292.pdf
22/08/1877	Gaceta de Madrid	234	536	Ministerio de Hacienda	BOE-A-1877-6493	Intervención general de la Administración del Estado.- Bienes de propios y Provinciales.- Ventas posteriores al 2 de Octubre de 1858.- Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de Propios y provinciales.	https://www.boe.es/datos/pdfs/BOE//1877/234/A00536-00536.pdf
07/08/1879	Gaceta de Madrid	219	450	Ministerio de Hacienda	BOE-A-1879-5787	Bienes de Propios y Provinciales.- Ventas Posteriores al 2 de Octubre de 1858.- Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de Propios y provinciales enajenados desde el 2 de Octubre de 1858 en adelante, que examinadas y aprobadas por esta Intervención general se remiten á la Dirección general de la Deuda pública...	https://www.boe.es/datos/pdfs/BOE//1879/219/A00450-00450.pdf
14/05/1880	Gaceta de Madrid	135	398 a 401		BOE-A-1880-3435	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1880/135/A00398-00401.pdf
07/05/1884	Gaceta de Madrid	128	344	Ministerio de Hacienda	BOE-A-1884-2680	Intervención general de la Administración del Estado.- Bienes propios y provinciales.- Ventas posteriores al 2 de Octubre de 1858. Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de propios y provinciales.	https://www.boe.es/datos/pdfs/BOE//1884/128/A00344-00344.pdf
28/08/1889	Gaceta de Madrid	240	679	Ministerio de Hacienda	BOE-A-1889-5516	Dirección general de Propiedades y Derechos del Estado.- Estado por provincias de los compradores de bienes desamortizados contra los que se han expedido apremios en dicho trimestre, con embargo de las fincas, por débito de plazos que exceden de 5.000 pesetas, conforme á la ley de 13 de Junio de 1878.	https://www.boe.es/datos/pdfs/BOE//1889/240/A00679-00679.pdf
28/03/1892	Gaceta de Madrid	88	943 a 944		BOE-A-1892-2055	Administración de Justicia.	https://www.boe.es/datos/pdfs/BOE//1892/088/A00943-00944.pdf
29/10/1894	Gaceta de Madrid	302	332	Ministerio de Fomento	BOE-A-1894-6665	Dirección general de Instrucción pública.- Primera enseñanza.- Escalafón de Maestros y Maestras, provincia de Zamora, distrito universitario de Salamanca.	https://www.boe.es/datos/pdfs/BOE//1894/302/A00332-00332.pdf
