pagina	denominacion_actual	como_se_escribe_en_1591	todos_vecinos	pecheros	hidalgos	clerigos
669	Carbajalinos	Carbajalinos	8	7	0	1
669	Villar de Ciervos	Villa de Çiervos de don Diego Sarmiento	71	70	0	1
669	Manzanal de Arriba	Mançanal de Ençima	73	72	0	1
669	Melgar de Tera	Melgar de Riva de Tera	30	25	4	1
669	Bretocino	Bretoçino	19	18	0	1
669	Burganes de Valverde	Burganes	32	31	0	1
669	Ferreras de Abajo	Ferreros de abajo	40	34	5	1
669	Villanueva de las Peras	Villanueva de Valverde	27	25	1	1
669	Morales de Valverde	Morales de Valverde	17	16	0	1
669	Moratones	Moratones	20	19	0	1
669	Grijalba de Vidriales	Grijalva	25	24	0	1
669	Santa Maria de Valverde	Sta Maria de Valverde	16	15	0	1
669	Villaveza de Valverde	Va Beça de Valverde	33	30	2	1
669	Bercianos de Valverde	Briaçanos de Valverde	25	24	0	1
669	Micereces de Tera	Mincarezes	23	20	1	2
669	Tardemeza	Tardemeca	25	21	3	1
669	Villanazar	Va naçar	22	21	0	1
669	Navianos de Valverde	Navianos	20	17	2	1
669	Monte de Pobladura (paraje)	Pobladura de Trasmo'te	11	10	0	1
669	Junquera de Tera	Junquera que es del Abbadia de Sancta Martha	28	14	13	1
669	Santa Marta de Tera	Sta Martha de Riva de Tera	35	34	0	1
669	Nuez	Nuez	114	112	1	1
669	Castropepe	Castropepe	22	21	0	1
669	Camarzana de Tera	Camarçana del Obispo de Astorga	30	29	0	1
669	Breto	Breto	40	39	0	1
670	Fuente Encalada	Fuent Calada	70	58	11	1
670	Mozar	Mocar	23	21	1	1
670	San Juanico el Nuevo	St Juan el nuevo	14	8	5	1
670	Lordemanos	Lordemanos	11	8	2	1
670	Figueruela de Arriba	Figueruela	44	35	8	1
670	Villamandos	Va mandos	22	0	15	7
670	Campazas	Campaces	77	74	1	2
670	Granja de Moreruela	La granja de Moreruela que es del monasterio de Moreruela	21	20	0	1
670	Bezar	Becar, del Sor de Becar [lugares hallados demas]	38	36	1	1
670	VECILLA DE TRASMONTE	Becilla [lugares hallados demas]	15	14	0	1
