numero	codigo	titulo	autores	paginas	acceso
2021, Nº 31	8545269	Brel Cachón, M. P.: "La incidencia de la Gripe de 1918 a escala local: El Valle del Esla". ADEH (Asociación de Demografía Histórica). Revista de Demografía Histórica - "Journal of Iberoamerican Population Studies", XXXVIII, III, 2020, pp. 31-54	Juan Carlos de la Mata Guerra; María Pilar Brel Cachón	31-54	abierto
2022, Nº 32	9168242	Agustín Díez Ferreras (1958-2022)	Fernando Regueras Grande	11-12	-
2022, Nº 32	9168243	El relieve en el norte de la provincia de Zamora (Benavente – Sanabria)	Julio Martínez Gallego	15-45	-
2022, Nº 32	9168244	Novedades sobre la capilla de Alonso Gómez de la desaparecida iglesia de Santa María del Templo, en Villalpando (Zamora)	Jesús Cuesta Salado	49-62	-
2022, Nº 32	9168245	"Pimentelia"	Fernando Regueras Grande	63-80	-
2022, Nº 32	9168246	La “Quincalla” de Benavente	Sergio Pérez Martín; Josemi Lorenzo Arribas	81-94	-
2022, Nº 32	9168247	Las crisis sucesorias de Castilla y Portugal en la villa de Benavente (1369-1398)	Luis Fernando Fernández Guisasola	97-112	-
2022, Nº 32	9168248	Aspectos socioeconómicos de la comarca de la Lampreana (Zamora), a través del Catastro de Ensenada (1753)	Francisco Trancón Pérez	115-137	-
2022, Nº 32	9168249	El Santuario de Nª Sª [Nuestra Señora] de la Carballeda y la cofradía de los Falifos en Rionegro del Puente	José Ignacio Martín Benito	139-154	-
2022, Nº 32	9168250	Entre mineros y militares	Fernando Pernía Vega	157-174	-
2022, Nº 32	9168251	La memoria silenciada de Fuentes de Ropel (Zamora)	María Jesús Izquierdo García; Víctor Iturbe Martínez	175-204	-
2022, Nº 32	9168252	La Guerra Civil en Benavente (I):	Eduardo Fuentes Ganzo	205-223	-
2022, Nº 32	9168253	Barcas de paso del reino de León. Adenda iconográfica (I):	José Ignacio Martín Benito	227-232	-
2022, Nº 32	9168254	Víctimas mortales del "terror rojo" en el partido judicial de Benavente	Jordi Bigues Balcells	233-240	-
2022, Nº 32	9168255	Notas sobre un cuento de un oso	Emilio Gavilanes	241-245	-
2023-2024, Nº 33-34	9824102	Saturnino Cardó García (1940-2023)	Fernando Regueras Grande	11-12	-
2023-2024, Nº 33-34	9824103	Miguel Manzano Alonso (1934-2024)	Gregorio Díez Mardomingo	13-14	-
2023-2024, Nº 33-34	9824104	La iglesia de Molacillos, enclave del barroco valenciano en la zamorana Tierra del Pan, en peligro	Isauro Pérez Ratón	17-36	-
2023-2024, Nº 33-34	9824105	Patrimonio organístico desaparecido de Benavente (siglos XVI-XX)	Fermín Trueba Pérez; David García Calvo	37-68	-
2023-2024, Nº 33-34	9824106	Adquisiciones, donaciones patrimoniales y donativos sociales del CEB “Ledo del Pozo” (1999-2023)	Fernando Regueras Grande	69-96	-
2023-2024, Nº 33-34	9824107	Las Hermandades leonesas (III)	Eduardo Fuentes Ganzo	99-112	-
2023-2024, Nº 33-34	9824108	Los Manrique de Lara y el legado heráldico de don Fadrique, duque de Benavente	Luis Fernando Fernández Guisasola	113-126	-
2023-2024, Nº 33-34	9824109	Dehesas de la comarca de Tábara (Zamora), siglos XVIII y XIX	Francisco Trancón Pérez	129-146	-
2023-2024, Nº 33-34	9824110	La situación de las plazas militares de la frontera de Castilla en el preludio de la “Guerra de las Naranjas”. El reconocimiento del coronel Fausto Caballero (1800-1801)	José Ignacio Martín Benito	147-177	-
2023-2024, Nº 33-34	9824111	El crimen de Sitrama de Tera	Jesús Cristovo Furones	179-206	-
2023-2024, Nº 33-34	9824112	La Guerra Civil en Benavente II	Eduardo Fuentes Ganzo	207-222	-
2023-2024, Nº 33-34	9824113	Felipa Niño Mas (Benavente 1902 – Madrid 1992). Una vida dedicada a los museos	Ana Azor Lacasta	223-230	-
2023-2024, Nº 33-34	9824114	Sobre Vaco, un dios lunar entre los Astures	Luis González Lozar	233-241	-
2023-2024, Nº 33-34	9824115	Excavación arqueológica en los Jardines de la Mota de Benavente	Francisco Javier San Vicente Vicente; Patricia Fuentes Melgar; Antonio Trigo García; Antonio Juanes Cortés	243-251	-
2023-2024, Nº 33-34	9824116	Manuel Pérez Pérez: Atlas lingüístico y etnográfico de la zona norte de los valles (Zamora), Instituto de Estudios Zamoranos “Florián de Ocampo”, Zamora 2023.	Manuel Barrio Prada; Manuel Pérez Pérez	255-255	-
2025, Nº 35	10592981	El mundo acuático en los mosaicos leoneses	Fernando Regueras Grande	27-43	-
2025, Nº 35	10592982	Un fragmento de yesería con cornisa clasicista en los Cuestos de la Mota de Benavente	Fernando Regueras Grande	47-54	-
2025, Nº 35	10592983	El Maestro de Villalobos. Consideraciones sobre un anónimo pintor zamorano del siglo XV a partir de las pinturas del retablo de San Félix	Jesús Cuesta Salado	55-78	-
2025, Nº 35	10592984	La estancia de Juana I en Benavente (1506)	Luis Fernando Fernández Guisasola	81-108	-
2025, Nº 35	10592985	Aspectos de la vida cotidiana de Benavente en el siglo XVII a la luz de unos procesos inquisitoriales	Juan Ignacio Panizo Santos; Ángel Panizo Delgado; Rosario Rivero Rodríguez	109-124	-
2025, Nº 35	10592986	Paisaje de la ruina	José Ignacio Martín Benito	125-148	-
2025, Nº 35	10592987	Aspectos históricos del convento de María de Jesús de Tábara (Zamora) , siglos XVII-XIX	Francisco Trancón Pérez	149-165	-
2025, Nº 35	10592988	Los sucesos de Villaveza del Agua 1908-1910	Jesús Cristovo Furones	169-195	-
2025, Nº 35	10592989	Francisco Blanco Blanco (1909-1980), un gran maestro de Quiruelas de Vidriales	Joaquín Blanco Majado	197-217	-
2025, Nº 35	10592990	El nombre de los Gigurri y Gijón	Luis González Lozar	221-226	-
2025, Nº 35	10592991	Dos precisiones iconográficas sobre el Tumbo de la Carballeda (Rionegro del Puente)	Fernando Regueras Grande	227-232	-
2025, Nº 35	10592992	Coral Tierras Altas de Sanabria y Carballeda. 25 años de musica	Gregorio Díez Mardomingo	233-244	-
2025, Nº 35	10592993	Ruinas	Fernando Regueras Grande	247-247	-
2025, Nº 35	10592994	Ruinas en Villalpando (Zamora)	Jesús Cuesta Salado	249-255	-
2025, Nº 35	10592995	Las lecciones de la ruina. El convento de San Bernardino en Cuenca de Campos y el mudéjar de Tierra de Campos	Pedro Villalón	257-263	-
2025, Nº 35	10592996	Sergio Pérez Martín: El escultor Juan de Montejo (1555-1601). Un último aliento de la estética juniana. Consejo Superior de Investigaciones Científica, Colección Historia del Arte, Serie Biblioteca de Historia del Arte, 42 , Madrid, 2024. ISBN 978-84-00-11282-0. 404 págs.	Miguel Angel Marcos Villán	267-268	-
2025, Nº 35	10592997	Feliciano Martínez Redondo y Juan Manuel Amez Zapatero: Ermita de Nuestra Señora de la Vega. Cimanes de la Vega. Asociación Cultural El Biendo (Villaquejida) , León, 2025. ISBN: 978-84-09-71272-4. 218 págs. Gráficas Celarayn, S. A.	José Ignacio Martín Benito	269-271	-
