numero	codigo	titulo	autores	paginas	acceso
2001, Nº 11	1402450	La regla de la cofradía de la Virgen de la Vega de Vecilla de Trasmonte en el siglo XVIII	José Ignacio Martín Benito	99-114	abierto
2001, Nº 11	1402454	Crisis obrera y conflictividad social en el nordeste zamorano (1898-1920) III	José Ignacio Martín Benito	115-142	abierto
2001, Nº 11	1402457	El tema de las ruinas hacia 1898 y un texto sobre el castillo de Benavente	Roxana Pérez Hidalgo	143-156	abierto
2001, Nº 11	1402460	Dietario tabarés	Fernando Regueras Grande	157-176	abierto
2001, Nº 11	1402464	Caza y pesca zamorana en 1850 y en la actualidad	José Ignacio Regueras Grande	177-196	abierto
2001, Nº 11	1402465	Documento inédito de época del rey Don Juan II	Liborio Hernández Guerra; Antonio Piedra Borregón	197-200	abierto
2001, Nº 11	1402473	Disputa inconclusa entre dos poblaciones castellano-leonesas, Villajequida-Mayorga de Campos, por la verdadera patria natal de Santo Toribio de Mogrovejo	Justo García Sánchez	201-204	abierto
2001, Nº 11	1402478	El terremoto de Lisboa en Benavente	Juan Carlos de la Mata Guerra	205-208	abierto
2001, Nº 11	3243776	"Las Edades del Hombre, Remembranza"	Fernando Regueras Grande	209-212	abierto
2001, Nº 11	3243779	Colección documental del Monasterio de San Esteban de Nogales, (1149-1498)	Rafael González Rodríguez; Gregoria Cavero Domínguez	212-214	abierto
2001, Nº 11	3243785	Dinero y moneda en un concejo medieval	Manuel Mozo Monroy; Eduardo Fuentes Ganzo	214-216	abierto
2001, Nº 11	3243786	El Dialecto de San Ciprián de Sanabria	Fritz Krüger; Diego Catalán	216-218	abierto
2001, Nº 11	3243789	"Sociedad y prensa en Benavente (siglos XIX-XX)"	Miguel Ángel Mateos Rodríguez; Juan Carlos de la Mata Guerra	218-220	abierto
1999, Nº 9	1403397	Vidal Aguado Seisdedos (1926-1999)	Emiliano Pérez Mencía	9-16	abierto
1999, Nº 9	1403399	Aportaciones al conocimiento de la circulación monetaria antigua en la zona de Banavente-Los Valles (Zamora) (I)	Isabel Rodríguez Casanova	17-44	abierto
1999, Nº 9	1403400	Presencia militar romana en la actual provincia de Zamora	Juan José Palao Vicente	45-56	abierto
1999, Nº 9	1403403	Algo más sobre mosaicos leoneses	Fernando Regueras Grande	57-72	abierto
1999, Nº 9	1403404	Notas sobre "La Casa del Lago" del Conde de Benavente	Rafael González Rodríguez	73-86	abierto
1999, Nº 9	1403405	Escritura de fundación del convento de María de Jesús de Tábara (siglo XVI)	Carlos Fresno Gago	87-110	abierto
1999, Nº 9	1403410	Conflicto de competencias entre el obispo de Oviedo y el vicario de San Millán	Justo García Sánchez	111-130	abierto
1999, Nº 9	1403421	Crisis obrera y conflictividad social en el nordeste zamorano (1898-1920). II	José Ignacio Martín Benito	131-156	abierto
1999, Nº 9	1403425	El habla en la zona de Benavente (II)	Manuel Barrio Prada	157-178	abierto
1999, Nº 9	1403427	Formaciones y recreaciones en el vocabulario del Orbigo	Luis Carlos Nuevo Cuervo	179-200	abierto
1999, Nº 9	1403429	Arquitecturas leonesas en tierra cruda	Pedro Criado Juárez	201-214	abierto
1999, Nº 9	1403430	La casa de los Ramos en Benavente	Juan Carlos Pascual de Cruz	215-230	abierto
1999, Nº 9	1403432	Hallazgos arqueológicos en el área de Benavente (III)	Fernando Regueras Grande; José Ignacio Martín Benito	231-242	abierto
1999, Nº 9	1403436	Un proyecto de actuación arqueológica integral para la zona de Los Valles	Jorge Juan Fernández	243-252	abierto
1999, Nº 9	1403448	Adiciones a dos artículos sobre pintura mural	Luis A. Grau Lobo	253-262	abierto
1999, Nº 9	1403451	Notas sobre el "IV Centenario del Condado de Benavente"	Fernando Regueras Grande	263-270	abierto
2000, Nº 10	1403475	Sobre un posible sarcófago de época visigoda en Tábara	Fernando Regueras Grande	7-18	abierto
2000, Nº 10	1403477	La representación del castillo de Benavente en las pinturas de San Juan del Mercado	Elena Hidalgo Muñoz	19-26	abierto
2000, Nº 10	1403480	Noticia de una arqueta con esmaltes del monasterio de Nogales (León)	Luis A. Grau Lobo	27-32	abierto
2000, Nº 10	1403483	Castroferrol, un enclave monástico altomedieval en el valle del Tera	Rafael González Rodríguez	33-44	abierto
2000, Nº 10	1403487	Monasterios, caminos de peregrinación e infraestructura viaria en el norte de Zamora	Rafael González Rodríguez	45-66	abierto
2000, Nº 10	1403490	De doblas a meajas	Eduardo Fuentes Ganzo	67-98	abierto
2000, Nº 10	1403493	La fundación del monasterio de San Jerónimo de Benavente	José Ignacio Martín Benito	99-120	abierto
2000, Nº 10	1403496	Convento de Santa María de Jesús en Tábara	Carlos Fresno Gago	121-132	abierto
2000, Nº 10	1403498	El término de Vecilla de Tramonte en un documento de 1706	José Ignacio Martín Benito	133-152	abierto
2000, Nº 10	1403500	La Epístola jocoseria a la Excma. Sra. Condesa de Benavente de Tomás de Iriarte	Roxana Pérez Hidalgo	153-172	abierto
2000, Nº 10	1403502	El habla de la zona de Benavente (III)	Manuel Barrio Prada	173-200	abierto
2000, Nº 10	1403503	Décimo aniversario del Centro de Estudios Benaventanos "Ledo del Pozo"	Emiliano Pérez Mencía	201-212	abierto
2000, Nº 10	1403504	Brigecio (1989-2000)	Emiliano Pérez Mencía	213-220	abierto
2000, Nº 10	3243060	"El achelense en la cuenca media occidental del Duero"	Luis A. Grau Lobo; José Ignacio Martín Benito	221-222	abierto
2000, Nº 10	3243062	Catálogo de los documentos medievales de la Catedral de Zamora	Eduardo Fuentes Ganzo; José Carlos de Lera Maíllo	222-223	abierto
2000, Nº 10	3243064	Os Pimentéis	Fernando Regueras Grande; Bernardo Vasconcelos Sousa	223-232	abierto
2000, Nº 10	3243069	Colección documental de la Catedral de Astorga. I, (646-1126)	Rafael González Rodríguez; Gregoria Cavero Domínguez; Encarnación Martín López	232-234	abierto
2000, Nº 10	3243072	La Orden Militar de Santiago en la provincia de Zamora	José Ignacio Martí; José Carlos de Lera Maíllo; Ángel Turiño Mínguez	234-235	abierto
1993, Nº 3	1427477	Aproximación al Paleolítico Inferior en los valles de Benavente	José Ignacio Martín Benito; Juan Carlos Martín Benito	11-32	abierto
1993, Nº 3	1427485	Sal y jefaturas	Germán Delibes de Castro	33-46	abierto
1993, Nº 3	1427492	El cuadrante noroeste peninsular en época romana	Santiago Carretero Vaquero	47-74	abierto
